RM1,RM2,RT1,RT2,T,VM1,VM2,AM1,AM2
2001.02,9367.19,39290,10000,0.71,2816.93,-766.485,-5.69256,339.809
2029.19,9359.56,39280,10000,0.72,2816.88,-763.094,-5.75616,339.097
2057.36,9351.96,39270,10000,0.73,2816.82,-759.71,-5.81931,338.385
2085.53,9344.4,39260,10000,0.74,2816.76,-756.334,-5.88201,337.675
2113.7,9336.87,39250,10000,0.75,2816.7,-752.964,-5.94426,336.966
2141.86,9329.37,39240,10000,0.76,2816.64,-749.601,-6.00605,336.257
2170.03,9321.91,39230,10000,0.77,2816.58,-746.246,-6.0674,335.549
2198.19,9314.48,39220,10000,0.78,2816.52,-742.897,-6.12829,334.842
2226.36,9307.09,39210,10000,0.79,2816.46,-739.556,-6.18875,334.136
2254.52,9299.72,39200,10000,0.8,2816.39,-736.222,-6.24876,333.431
2282.69,9292.39,39190,10000,0.81,2816.33,-732.894,-6.30832,332.727
2310.85,9285.1,39180,10000,0.82,2816.27,-729.574,-6.36745,332.024
2339.01,9277.84,39170,10000,0.83,2816.2,-726.261,-6.42614,331.321
2367.17,9270.61,39160,10000,0.84,2816.14,-722.955,-6.48439,330.62
2395.33,9263.41,39150,10000,0.85,2816.07,-719.656,-6.5422,329.919
2423.49,9256.25,39140,10000,0.86,2816.01,-716.363,-6.59958,329.219
2451.65,9249.12,39130,10000,0.87,2815.94,-713.078,-6.65653,328.52
2479.81,9242.02,39120,10000,0.88,2815.87,-709.8,-6.71305,327.822
2507.97,9234.95,39110,10000,0.89,2815.81,-706.529,-6.76914,327.125
2536.13,9227.92,39100,10000,0.9,2815.74,-703.264,-6.8248,326.429
2564.28,9220.92,39090,10000,0.91,2815.67,-700.007,-6.88004,325.733
2592.44,9213.95,39080,10000,0.92,2815.6,-696.757,-6.93485,325.038
2620.59,9207.02,39070,10000,0.93,2815.53,-693.513,-6.98924,324.345
2648.75,9200.11,39060,10000,0.94,2815.46,-690.277,-7.04321,323.652
2676.9,9193.24,39050,10000,0.95,2815.39,-687.047,-7.09676,322.96
